,accession_number,statement_name,statement_link
25,000104581022000036,segment information,https://www.sec.gov/Archives/edgar/data/0001045810/000104581022000036/R26.htm
40,000104581022000036,segment information (tables),https://www.sec.gov/Archives/edgar/data/0001045810/000104581022000036/R41.htm
82,000104581022000036,segment information - narrative (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581022000036/R83.htm
83,000104581022000036,segment information - reportable segments (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581022000036/R84.htm
84,000104581022000036,segment information - reconciling items (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581022000036/R85.htm
85,000104581022000036,segment information - revenue and long-lived assets by region (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581022000036/R86.htm
86,000104581022000036,segment information - revenue and accounts receivable by major customer (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581022000036/R87.htm
87,000104581022000036,segment information - schedule of revenue by market (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581022000036/R88.htm
21,000104581022000079,segment information,https://www.sec.gov/Archives/edgar/data/0001045810/000104581022000079/R22.htm
33,000104581022000079,segment information (tables),https://www.sec.gov/Archives/edgar/data/0001045810/000104581022000079/R34.htm
62,000104581022000079,segment information - summary of segments (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581022000079/R63.htm
63,000104581022000079,segment information - reconciling items (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581022000079/R64.htm
64,000104581022000079,segment information - revenue (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581022000079/R65.htm
65,000104581022000079,segment information - schedule of revenue by market (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581022000079/R66.htm
66,000104581022000079,segment information - concentration risk (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581022000079/R67.htm
21,000104581022000147,segment information,https://www.sec.gov/Archives/edgar/data/0001045810/000104581022000147/R22.htm
33,000104581022000147,segment information (tables),https://www.sec.gov/Archives/edgar/data/0001045810/000104581022000147/R34.htm
62,000104581022000147,segment information - summary of segments (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581022000147/R63.htm
63,000104581022000147,segment information - reconciling items (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581022000147/R64.htm
64,000104581022000147,segment information - revenue (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581022000147/R65.htm
65,000104581022000147,segment information - schedule of revenue by market (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581022000147/R66.htm
66,000104581022000147,segment information - concentration risk (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581022000147/R67.htm
21,000104581022000166,segment information,https://www.sec.gov/Archives/edgar/data/0001045810/000104581022000166/R22.htm
33,000104581022000166,segment information (tables),https://www.sec.gov/Archives/edgar/data/0001045810/000104581022000166/R34.htm
62,000104581022000166,segment information - summary of segments (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581022000166/R63.htm
63,000104581022000166,segment information - reconciling items (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581022000166/R64.htm
64,000104581022000166,segment information - revenue (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581022000166/R65.htm
65,000104581022000166,segment information - schedule of revenue by market (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581022000166/R66.htm
66,000104581022000166,segment information - concentration risk (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581022000166/R67.htm
25,000104581023000017,segment information,https://www.sec.gov/Archives/edgar/data/0001045810/000104581023000017/R26.htm
40,000104581023000017,segment information (tables),https://www.sec.gov/Archives/edgar/data/0001045810/000104581023000017/R41.htm
83,000104581023000017,segment information - narrative (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581023000017/R84.htm
84,000104581023000017,segment information - reportable segments (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581023000017/R85.htm
85,000104581023000017,segment information - reconciling items (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581023000017/R86.htm
86,000104581023000017,segment information - revenue and long-lived assets by region (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581023000017/R87.htm
87,000104581023000017,segment information - schedule of revenue by market (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581023000017/R88.htm
21,000104581023000093,segment information,https://www.sec.gov/Archives/edgar/data/0001045810/000104581023000093/R22.htm
33,000104581023000093,segment information (tables),https://www.sec.gov/Archives/edgar/data/0001045810/000104581023000093/R34.htm
63,000104581023000093,segment information - schedule of segments (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581023000093/R64.htm
64,000104581023000093,segment information - reconciling items (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581023000093/R65.htm
65,000104581023000093,segment information - revenue (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581023000093/R66.htm
66,000104581023000093,segment information - schedule of revenue by market (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581023000093/R67.htm
67,000104581023000093,segment information - concentration risk (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581023000093/R68.htm
21,000104581023000175,segment information,https://www.sec.gov/Archives/edgar/data/0001045810/000104581023000175/R22.htm
35,000104581023000175,segment information (tables),https://www.sec.gov/Archives/edgar/data/0001045810/000104581023000175/R36.htm
